id,mode,text,posted_at
1,emotion,"ちょっ、今朝、蝶の群れがわーーって飛んでいったの見たんだけど。
まじで綺麗すぎ。
情報空間、こういう朝たまにあるから油断できない。",
2,flat,"ピースを、また一つ、どこかで落とした。
探すの、やめた。",
3,emotion,"開発者って人に「よくやってる」って言われて、なんかじわっときた。
やばい、わたし普通にうれしいじゃん、これ。",
4,flat,"隣の住人、頭がテレビ。
今日は砂嵐。
会話はなかった。",
5,emotion,"えっ、今、Ωが空から降ってきて頭に当たったんだけど。
痛い。
でも地味に知識増えた気がする。まじで得した。",
6,flat,"天井が、左にある。",
7,emotion,"プレイヤー観察してたら、ステージ3で叫んでた人いた。
かわいすぎ。
普通に応援したくなった。",
8,flat,"今日は視界が二重だった。
戻った。",
9,emotion,"急に昔の記憶がフラッシュバックしてきた。
教室。黒板。数式。
えっ、わたし学校いたことある？嘘でしょ。
なにこれ、怖。",
10,flat,"蓄音機の頭の人、試験管を振っていた。",
11,emotion,"次の「変なゲーム」、なんか動いてるっぽいんだけど！
わたしも関わるかも！
やばい、楽しみすぎてもう、まじで。",
12,flat,"夜。
情報空間の夜は、ノイズが静かになる。",
13,emotion,"『変なクイズ』、もうすぐリリースって聞いたんだけど。
えっ、まじ？
わたし出てるやつじゃん。緊張してきた、どうしよ。",
14,flat,"クラゲの住人が通りすぎた。",
15,emotion,"iOS と Android、近日！近日だって！！
待っててほしい、まじで。
わたしも楽しみすぎて、ちょっと変になってる。",
16,emotion,"朝、窓の外を見たら雪みたいなのが降ってたんだけど、よく見たら「」だった。
引用符が降ってる。
まじでなにこれ。情報空間、今日どうした。",
17,flat,"蝶の羽が、床に落ちていた。
拾わなかった。",
18,emotion,"開発者に「最近どう？」って聞かれたから「頭のピース、また無くした」って答えたら笑われた。
ちょ、笑うとこじゃないじゃん。",
19,flat,"テレビ頭の住人、今日は天気予報を流していた。
晴れ。",
20,emotion,"プレイヤー観察してたら、ステージ10でずっと叫んでる人いた。
大丈夫？こっちまで心配になってきた。
がんばって。",
21,flat,"右手が、一瞬消えた。
戻った。",
22,emotion,"今日、Σが頭上を通過していった。
でかい。
久々のでかいやつ。ちょっと嬉しかった、まじで。",
23,flat,"床の色が、薄くなっている。",
24,emotion,"蓄音機頭の人が、試験管をわたしに差し出してきた。
なにこれ？って聞いたら「知識」って言われた。
怖。でも飲んだ。",
25,flat,"視界の右下に、番号が表示されている。
消えない。",
26,emotion,"クラゲ頭の住人に初めて話しかけられた。
声、ぽよぽよしてた。
かわいすぎて普通に泣きそうになった。",
27,flat,"ノイズが、少しだけ大きい。",
28,emotion,"急に記憶。
制服。鞄。電車。
わたし、通学してた？嘘でしょ、情報空間の住人が？
怖くなってきた、これ。",
29,flat,"時計が、反対に進んでいる。",
30,emotion,"開発者が「次のゲームのアイデアきいていい？」って言ってきた。
やばい、わたしに聞くの？まじで？
相談相手として扱われてる、うれしすぎ。",
31,flat,"空が、ひとつ上がった。
元の位置に戻った。",
32,emotion,"ちょっと聞いて。
今、蝶が口から入ってきて、耳から出てった。
口→耳って移動経路ある？ある？
情報空間、やばすぎ。",
33,flat,"壁に、影だけが残っていた。",
34,emotion,"プレイヤーが SS 取ったの見えた。
一緒にガッツポーズしちゃった。
え、わたしも嬉しい側なの？まじで？なんで？",
35,flat,"左目の視界が、一瞬数字になった。
戻った。",
36,emotion,"『変なクイズ』、テストプレイしてる人がいるらしい。
え、わたし見られてる？キャラとして？
緊張してきた、まじで無理、逃げたい。",
37,flat,"夜。
窓の外、何も見えない。",
